,,,,,
Incorporated Cities and Census Designated Places (CDP) by County in California,,,,,
Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),,Geoid
El Cajon city,"106,215",14.5,"7,320",,1600000US0621712
Elfin Forest CDP,600,2.0,296,,1600000US0621916
Encinitas city,"62,007",19.1,"3,254",,1600000US0622678
Escondido city,"151,038",37.3,"4,044",,1600000US0622804
Eucalyptus Hills CDP,"5,517",4.8,"1,159",,1600000US0623000
Fairbanks Ranch CDP,"3,002",5.1,589,,1600000US0623150
Fallbrook CDP,"32,267",17.5,"1,840",,1600000US0623462
Granite Hills CDP,"3,267",2.8,"1,170",,1600000US0630703
Harbison Canyon CDP,"4,048",10.1,402,,1600000US0632044
Harmony Grove CDP,"2,079",3.1,675,,1600000US0632212
Hidden Meadows CDP,"4,484",6.6,681,,1600000US0633532
Imperial Beach city,"26,137",4.3,"6,092",,1600000US0636294
Jacumba CDP,540,6.1,88,,1600000US0637022
Jamul CDP,"6,179",16.8,367,,1600000US0637120
Julian CDP,"1,768",7.9,224,,1600000US0637582
Lake San Marcos CDP,"5,328",1.7,"3,121",,1600000US0639724
Lakeside CDP,"21,152",6.9,"3,053",,1600000US0639766
La Mesa city,"61,121",9.1,"6,723",,1600000US0640004
La Presa CDP,"35,033",5.5,"6,373",,1600000US0640326
Lemon Grove city,"27,627",3.9,"7,123",,1600000US0641124
Mount Laguna CDP,74,1.7,44,,1600000US0649810
National City city,"56,173",7.3,"7,700",,1600000US0650398
Oceanside city,"174,068",41.3,"4,218",,1600000US0653322
Pala CDP,"1,490",5.6,264,,1600000US0655058
Pine Valley CDP,"1,645",7.2,230,,1600000US0657260
Potrero CDP,648,3.1,206,,1600000US0658478
Poway city,"48,841",39.1,"1,250",,1600000US0658520
Rainbow CDP,"1,884",11.0,171,,1600000US0659248
Ramona CDP,"21,468",38.4,559,,1600000US0659346
Rancho San Diego CDP,"21,858",8.7,"2,513",,1600000US0659550
Rancho Santa Fe CDP,"3,156",6.7,470,,1600000US0659584
San Diego city,"1,386,932",325.9,"4,256",,1600000US0666000
San Diego Country Estates CDP,"10,395",16.8,619,,1600000US0666004
San Marcos city,"94,833",24.4,"3,894",,1600000US0668196
Santee city,"60,037",16.5,"3,630",,1600000US0670224
Solana Beach city,"12,941",3.4,"3,791",,1600000US0672506
Spring Valley CDP,"30,998",7.3,"4,222",,1600000US0673696
Valley Center CDP,"10,087",27.4,368,,1600000US0681736
Vista city,"98,381",18.7,"5,248",,1600000US0682996
Winter Gardens CDP,"22,380",4.4,"5,063",,1600000US0685992
